ArrayTaskID	rt_tol	mz_tol
1	0.0	0.05
2	0.0	0.01
3	0.0	0.005
4	0.0	0.001
5	0.0	0.0005
6	0.0	0.0001
7	0.25	0.05
8	0.25	0.01
9	0.25	0.005
10	0.25	0.001
11	0.25	0.0005
12	0.25	0.0001
13	0.5	0.05
14	0.5	0.01
15	0.5	0.005
16	0.5	0.001
17	0.5	0.0005
18	0.5	0.0001
19	1.0	0.05
20	1.0	0.01
21	1.0	0.005
22	1.0	0.001
23	1.0	0.0005
24	1.0	0.0001
